run_id,question,author,date,source_commit,ns3_version,command,topology,aggregation,rts,configured_duration_s,measurement_interval,metric,value,units,capture_reference,notes
q2-1-baseline,Q2-1,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi6610 --phyRate=HtMcs4 --simulationTime=3""","AP=(0,0,0) m; STA=(10,0,0) m; distance=10 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,31.9758,Mbit/s,,100 Mbps offered; HtMcs4; 5 GHz; 20 MHz; GI=800 ns default; TcpNewReno; payloadSize=1472 bytes; default RngSeed=1/RngRun=1; PCAP disabled; source unchanged from commit; SHA256=6a1f42017805d89489baee8af730b35402397ba574f830704d67f6794d426be0; raw log=/home/yuexin/ns-3.47/q2-1-baseline.log
q2-distance-005m,Q2-2,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi6610 --phyRate=HtMcs4 --simulationTime=3 --distance=5""","AP=(0,0,0) m; STA=(5,0,0) m; distance=5 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,31.9797,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; raw log=/home/yuexin/ns-3.47/q2-distance-logs/distance-005m.log
q2-distance-010m,Q2-2,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi6610 --phyRate=HtMcs4 --simulationTime=3 --distance=10""","AP=(0,0,0) m; STA=(10,0,0) m; distance=10 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,31.9758,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; raw log=/home/yuexin/ns-3.47/q2-distance-logs/distance-010m.log
q2-distance-015m,Q2-2,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi6610 --phyRate=HtMcs4 --simulationTime=3 --distance=15""","AP=(0,0,0) m; STA=(15,0,0) m; distance=15 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,31.9758,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; raw log=/home/yuexin/ns-3.47/q2-distance-logs/distance-015m.log
q2-distance-020m,Q2-2,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi6610 --phyRate=HtMcs4 --simulationTime=3 --distance=20""","AP=(0,0,0) m; STA=(20,0,0) m; distance=20 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,31.9915,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; raw log=/home/yuexin/ns-3.47/q2-distance-logs/distance-020m.log
q2-distance-025m,Q2-2,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi6610 --phyRate=HtMcs4 --simulationTime=3 --distance=25""","AP=(0,0,0) m; STA=(25,0,0) m; distance=25 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,31.9797,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; raw log=/home/yuexin/ns-3.47/q2-distance-logs/distance-025m.log
q2-distance-030m,Q2-2,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi6610 --phyRate=HtMcs4 --simulationTime=3 --distance=30""","AP=(0,0,0) m; STA=(30,0,0) m; distance=30 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,31.9797,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; raw log=/home/yuexin/ns-3.47/q2-distance-logs/distance-030m.log
q2-distance-035m,Q2-2,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi6610 --phyRate=HtMcs4 --simulationTime=3 --distance=35""","AP=(0,0,0) m; STA=(35,0,0) m; distance=35 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,31.9758,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; raw log=/home/yuexin/ns-3.47/q2-distance-logs/distance-035m.log
q2-distance-040m,Q2-2,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi6610 --phyRate=HtMcs4 --simulationTime=3 --distance=40""","AP=(0,0,0) m; STA=(40,0,0) m; distance=40 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.28,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; raw log=/home/yuexin/ns-3.47/q2-distance-logs/distance-040m.log
q2-distance-045m,Q2-2,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi6610 --phyRate=HtMcs4 --simulationTime=3 --distance=45""","AP=(0,0,0) m; STA=(45,0,0) m; distance=45 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.2761,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; raw log=/home/yuexin/ns-3.47/q2-distance-logs/distance-045m.log
q2-distance-050m,Q2-2,Codex-assisted run,2026-09-20,ee37baa27054d1f7bc0d03c907835170d6afad71,3.47,"./ns3 run ""wifi6610 --phyRate=HtMcs4 --simulationTime=3 --distance=50""","AP=(0,0,0) m; STA=(50,0,0) m; distance=50 m",large A-MPDU enabled (starter default),disabled,3,traffic starts 1 s; stop 4 s; sink total bytes / 3 s,final application receive throughput at AP,30.2761,Mbit/s,,Uncommitted source change: added --distance; SHA256=81c96f346e37c41a228c09da4e6b2b863652634facd7b90698b8137806b9294c; HtMcs4; 100 Mbps offered; 5 GHz; 20 MHz; GI=800 ns; TcpNewReno; payloadSize=1472; default RngSeed=1/RngRun=1; PCAP disabled; raw log=/home/yuexin/ns-3.47/q2-distance-logs/distance-050m.log
